product_id,name,category,brand,unit_cost,list_price,launch_date
PROD-25968,BrandA Clothing #1,Clothing,BrandA,205.88,379.87,2021-10-18
PROD-68962,BrandF Home #2,Home,BrandF,351.95,828.58,2024-12-26
PROD-57728,BrandC Clothing #3,Clothing,BrandC,370.57,681.28,2021-03-03
PROD-19272,BrandD Clothing #4,Clothing,BrandD,337.74,709.99,2020-11-14
PROD-64435,BrandF Food #5,Food,BrandF,337.42,591.09,2020-03-10
PROD-23206,BrandA Electronics #6,Electronics,BrandA,306.18,515.48,2022-04-20
PROD-58562,BrandF Clothing #7,Clothing,BrandF,260.17,598.67,2023-08-15
PROD-67218,BrandE Home #8,Home,BrandE,100.51,209.73,2021-09-09
PROD-16495,BrandD Electronics #9,Electronics,BrandD,421.72,725.81,2022-12-22
PROD-29405,BrandC Clothing #10,Clothing,BrandC,482.2,1155.83,2021-06-17
PROD-36613,BrandE Food #11,Food,BrandE,234.31,444.77,2024-10-19
PROD-93547,BrandB Electronics #12,Electronics,BrandB,466.75,712.23,2020-02-26
PROD-29904,BrandB Clothing #13,Clothing,BrandB,499.0,938.05,2021-03-15
PROD-92861,BrandF Electronics #14,Electronics,BrandF,244.13,515.03,2023-05-26
PROD-58058,BrandB Clothing #15,Clothing,BrandB,362.73,631.34,2025-01-20
PROD-95379,BrandE Home #16,Home,BrandE,322.61,746.05,2022-05-29
PROD-84815,BrandF Clothing #17,Clothing,BrandF,120.16,233.08,2020-06-01
PROD-36365,BrandD Clothing #18,Clothing,BrandD,25.45,47.37,2023-04-24
PROD-60379,BrandB Clothing #19,Clothing,BrandB,227.77,530.81,2021-08-15
PROD-74525,BrandF Home #20,Home,BrandF,394.03,731.12,2021-10-29
PROD-17053,BrandE Electronics #21,Electronics,BrandE,163.92,294.61,2025-07-14
PROD-69671,BrandD Home #22,Home,BrandD,392.65,559.31,2025-08-25
PROD-51369,BrandA Clothing #23,Clothing,BrandA,328.09,569.23,2021-07-21
PROD-13204,BrandC Home #24,Home,BrandC,348.38,618.88,2023-07-20
PROD-88031,BrandC Clothing #25,Clothing,BrandC,144.3,218.87,2023-03-31
PROD-33900,BrandB Electronics #26,Electronics,BrandB,236.08,473.43,2025-10-07
PROD-88677,BrandC Clothing #27,Clothing,BrandC,92.49,136.2,2025-09-05
PROD-28609,BrandA Electronics #28,Electronics,BrandA,124.8,195.74,2022-02-06
PROD-58749,BrandE Home #29,Home,BrandE,46.75,92.25,2020-02-25
PROD-43372,BrandC Food #30,Food,BrandC,65.13,105.69,2020-01-06
PROD-90369,BrandE Food #31,Food,BrandE,106.84,220.9,2020-01-11
PROD-95774,BrandC Electronics #32,Electronics,BrandC,290.96,619.34,2024-09-08
PROD-79305,BrandE Food #33,Food,BrandE,221.72,368.4,2024-06-09
PROD-86104,BrandE Clothing #34,Clothing,BrandE,134.94,189.57,2024-12-18
PROD-79202,BrandA Home #35,Home,BrandA,430.83,813.12,2020-11-01
PROD-36408,BrandC Food #36,Food,BrandC,263.52,371.95,2020-05-08
PROD-92835,BrandE Food #37,Food,BrandE,461.71,885.69,2021-01-08
PROD-57702,BrandD Home #38,Home,BrandD,318.21,690.98,2023-10-02
PROD-40912,BrandB Food #39,Food,BrandB,9.86,20.16,2020-01-20
PROD-27303,BrandE Food #40,Food,BrandE,456.91,839.76,2023-12-19
PROD-73879,BrandB Electronics #41,Electronics,BrandB,429.02,1044.68,2025-05-02
PROD-34969,BrandF Food #42,Food,BrandF,318.37,452.75,2020-11-15
PROD-68740,BrandE Clothing #43,Clothing,BrandE,268.32,632.16,2024-06-07
PROD-15850,BrandB Electronics #44,Electronics,BrandB,227.56,514.32,2023-04-26
PROD-67132,BrandB Home #45,Home,BrandB,242.12,436.71,2025-08-31
PROD-67834,BrandF Electronics #46,Electronics,BrandF,385.07,571.23,2021-06-17
PROD-57225,BrandD Food #47,Food,BrandD,257.54,382.97,2021-05-12
PROD-69122,BrandE Electronics #48,Electronics,BrandE,89.66,215.74,2020-02-06
PROD-99440,BrandE Clothing #49,Clothing,BrandE,30.97,48.95,2024-03-25
PROD-85465,BrandA Home #50,Home,BrandA,64.84,152.31,2025-03-15
PROD-49559,BrandE Electronics #51,Electronics,BrandE,127.22,242.22,2020-02-11
PROD-88439,BrandC Food #52,Food,BrandC,185.13,343.25,2022-12-13
PROD-95900,BrandF Food #53,Food,BrandF,446.42,912.22,2024-05-06
PROD-24405,BrandB Home #54,Home,BrandB,121.07,188.63,2024-09-09
PROD-42303,BrandA Electronics #55,Electronics,BrandA,161.16,292.35,2025-08-01
PROD-76873,BrandD Home #56,Home,BrandD,113.06,274.3,2024-05-03
PROD-56347,BrandD Clothing #57,Clothing,BrandD,273.78,434.19,2025-07-10
PROD-22123,BrandD Clothing #58,Clothing,BrandD,309.31,744.17,2025-12-18
PROD-52526,BrandB Clothing #59,Clothing,BrandB,267.0,665.64,2025-07-26
PROD-43634,BrandC Clothing #60,Clothing,BrandC,476.02,648.48,2022-08-17
PROD-76493,BrandF Clothing #61,Clothing,BrandF,497.7,964.37,2022-06-11
PROD-56398,BrandE Electronics #62,Electronics,BrandE,419.02,631.12,2022-07-26
PROD-22592,BrandF Clothing #63,Clothing,BrandF,403.04,824.64,2025-09-14
PROD-14452,BrandB Food #64,Food,BrandB,184.29,458.41,2021-09-09
PROD-35857,BrandF Clothing #65,Clothing,BrandF,290.73,690.85,2024-07-07
PROD-24108,BrandC Electronics #66,Electronics,BrandC,177.03,426.61,2023-10-02
PROD-88865,BrandF Clothing #67,Clothing,BrandF,392.61,610.91,2020-05-15
PROD-34400,BrandF Clothing #68,Clothing,BrandF,87.57,170.83,2022-12-01
PROD-67104,BrandA Food #69,Food,BrandA,109.9,173.84,2021-03-02
PROD-21478,BrandF Home #70,Home,BrandF,21.27,50.61,2024-05-16
PROD-49754,BrandD Food #71,Food,BrandD,305.25,466.84,2022-09-07
PROD-94068,BrandE Food #72,Food,BrandE,344.89,512.08,2022-02-20
PROD-67909,BrandD Electronics #73,Electronics,BrandD,3.67,4.82,2020-05-23
PROD-35948,BrandB Home #74,Home,BrandB,256.37,389.26,2020-10-13
PROD-77290,BrandF Clothing #75,Clothing,BrandF,189.68,289.78,2024-08-01
PROD-55105,BrandA Clothing #76,Clothing,BrandA,396.61,552.47,2025-03-05
PROD-31159,BrandE Electronics #77,Electronics,BrandE,21.37,50.03,2021-09-30
PROD-99688,BrandB Electronics #78,Electronics,BrandB,26.19,58.56,2024-12-20
PROD-94382,BrandE Home #79,Home,BrandE,310.86,499.05,2023-04-24
PROD-60997,BrandC Electronics #80,Electronics,BrandC,296.64,664.45,2022-02-08
PROD-12986,BrandB Clothing #81,Clothing,BrandB,415.88,751.33,2022-09-16
PROD-47034,BrandB Electronics #82,Electronics,BrandB,296.95,662.38,2024-02-22
PROD-56256,BrandB Home #83,Home,BrandB,474.79,801.26,2025-06-15
PROD-93681,BrandF Home #84,Home,BrandF,158.56,313.57,2022-12-15
PROD-75969,BrandE Home #85,Home,BrandE,200.16,351.87,2022-01-29
PROD-30024,BrandE Home #86,Home,BrandE,488.88,745.65,2024-07-26
PROD-55902,BrandD Home #87,Home,BrandD,55.55,111.25,2023-02-25
PROD-26155,BrandC Clothing #88,Clothing,BrandC,398.36,876.79,2022-05-05
PROD-52645,BrandF Electronics #89,Electronics,BrandF,7.76,17.1,2022-10-04
PROD-58182,BrandB Clothing #90,Clothing,BrandB,244.28,422.01,2023-03-20
PROD-55880,BrandF Clothing #91,Clothing,BrandF,78.39,150.7,2020-11-03
PROD-48457,BrandC Food #92,Food,BrandC,300.23,665.47,2020-05-06
PROD-49352,BrandC Electronics #93,Electronics,BrandC,399.49,545.46,2023-12-28
PROD-81728,BrandC Electronics #94,Electronics,BrandC,18.46,25.59,2021-01-18
PROD-55528,BrandE Food #95,Food,BrandE,83.56,146.35,2023-03-11
PROD-13780,BrandE Electronics #96,Electronics,BrandE,172.62,270.7,2024-09-09
PROD-76674,BrandE Electronics #97,Electronics,BrandE,129.39,226.38,2021-04-16
PROD-65595,BrandA Electronics #98,Electronics,BrandA,192.84,272.39,2022-04-16
PROD-72612,BrandA Food #99,Food,BrandA,476.03,957.02,2025-11-14
PROD-73961,BrandF Electronics #100,Electronics,BrandF,52.4,110.36,2020-03-17
PROD-25587,BrandF Electronics #101,Electronics,BrandF,212.79,478.82,2024-07-14
PROD-97472,BrandA Electronics #102,Electronics,BrandA,229.63,477.77,2021-01-02
PROD-99135,BrandF Home #103,Home,BrandF,141.61,251.45,2025-06-08
PROD-23118,BrandB Electronics #104,Electronics,BrandB,140.7,340.76,2022-06-21
PROD-29704,BrandF Electronics #105,Electronics,BrandF,357.95,777.32,2020-01-15
PROD-32161,BrandF Home #106,Home,BrandF,309.69,598.7,2024-04-22
PROD-96980,BrandD Home #107,Home,BrandD,406.79,629.8,2020-11-18
PROD-93919,BrandB Electronics #108,Electronics,BrandB,203.73,423.51,2022-03-07
PROD-33851,BrandE Clothing #109,Clothing,BrandE,304.14,611.34,2023-01-06
PROD-66756,BrandA Electronics #110,Electronics,BrandA,447.01,947.66,2024-06-21
PROD-31911,BrandC Food #111,Food,BrandC,425.96,953.02,2022-07-07
PROD-13424,BrandD Clothing #112,Clothing,BrandD,460.17,1103.52,2025-02-23
PROD-30728,BrandA Home #113,Home,BrandA,135.95,331.56,2022-11-21
PROD-16960,BrandC Home #114,Home,BrandC,492.74,1013.18,2022-01-17
PROD-86296,BrandE Food #115,Food,BrandE,408.56,1004.71,2022-01-08
PROD-80689,BrandA Electronics #116,Electronics,BrandA,397.81,952.24,2024-10-20
PROD-26587,BrandC Home #117,Home,BrandC,334.45,435.83,2023-12-28
PROD-61072,BrandA Food #118,Food,BrandA,491.67,1015.37,2020-10-05
PROD-28463,BrandD Home #119,Home,BrandD,221.9,335.99,2024-07-02
PROD-60887,BrandA Electronics #120,Electronics,BrandA,371.29,614.2,2022-06-29
PROD-90637,BrandB Food #121,Food,BrandB,350.01,579.97,2022-02-03
PROD-89187,BrandD Home #122,Home,BrandD,366.58,689.08,2020-08-01
PROD-84976,BrandB Home #123,Home,BrandB,376.23,494.0,2025-12-28
PROD-31698,BrandB Food #124,Food,BrandB,97.0,153.55,2020-04-25
PROD-27167,BrandF Clothing #125,Clothing,BrandF,175.83,234.72,2025-12-24
PROD-24438,BrandE Clothing #126,Clothing,BrandE,197.34,410.6,2020-05-21
PROD-21441,BrandA Food #127,Food,BrandA,374.5,886.5,2023-01-12
PROD-65242,BrandF Home #128,Home,BrandF,358.69,895.77,2020-08-17
PROD-69259,BrandC Food #129,Food,BrandC,417.02,766.59,2022-12-16
PROD-89418,BrandA Electronics #130,Electronics,BrandA,394.68,636.29,2025-01-05
