order_id,customer_id,product_id,sale_date,quantity,unit_price,channel,region,currency,revenue,_row_id,_injected_types
ORD-2154598,CUSTOMER-GHOST1157,PRODUCT-GHOST1157,2025-05-10,9999,0.0001,ONLINE,NORTH,EUR,566.42,0,out_of_range|referential_break|revenue_inconsistency
ORD-4545073,CUST-98925,PROD-10133,2025-12-02,2,552.53,ONLINE,WEST,EUR,1105.06,1,
ORD-9213523,CUST-21752,PROD-66491,2026-02-23,2,298.43,MOBILE,SOUTH,EUR,596.86,2,
ORD-9482669,CUST-85687,PROD-43634,2026-01-12,3,653.5,ONLINE,SOUTH,EUR,1960.5,3,
ORD-6699881,CUST-36256,PROD-71030,2024-07-14,1,337.49,ONLINE,NORTH,GBP,337.49,4,
ORD-1820787,CUSTOMER-GHOST1015,PRODUCT-GHOST1015,2025-06-03,3,397.1,ONLINE,SOUTH,EUR,1191.3,5,referential_break
ORD-7029597,CUST-96516,PROD-72049,2026-04-07,6,130.95,STORE,WEST,EUR,785.7,6,
ORD-9802046,CUST-19519,PROD-56281,2025-04-20,4,82.49,STORE,SOUTH,EUR,50.06,7,revenue_inconsistency
ORD-7306473,CUST-57051,PROD-41597,2026-04-08,4,410.41,ONLINE,WEST,GBP,1641.64,8,
ORD-2917649,CUST-19123,PROD-24205,2024-08-05,3,861.84,ONLINE,SOUTH,EUR,2585.52,9,
ORD-4208270,CUST-81140,PROD-47034,2025-07-14,3,629.58,ONLINE,NORTH,EUR,1888.74,10,
ORD-6239155,CUST-88183,PROD-28609,2025-07-01,1,166.53,ONLINE,NORTH,EUR,166.53,11,
ORD-9695607,CUST-42487,PROD-13204,2026-04-05,1,601.58,STORE,SOUTH,GBP,601.58,12,
ORD-6295188,CUST-32124,PROD-67353,2027-02-17,2,1105.38,ONLINE,NORTH,USD,2210.76,13,future_date
ORD-4228478,CUST-78062,PROD-18658,2025-09-22,3,783.73,MOBILE,WEST,GBP,2351.19,14,
ORD-1989014,CUST-21693,PROD-46797,2026-01-04,3,331.7,MOBILE,NORTH,EUR,995.1,15,
ORD-8150354,CUST-27509,PROD-90033,2025-09-28,4,530.97,STORE,EAST,EUR,2123.88,16,
ORD-2397926,CUST-21492,PROD-93547,2025-11-02,2,689.53,STORE  , WEST ,  EUR,1379.06,17,whitespace_corruption
ORD-8309630,CUST-47698,PROD-93815,2024-11-29,3,261.14,ONLINE,NORTH,EUR,783.42,18,
ORD-2141560,CUST-55583,PROD-64435,2026-02-28,2,601.04,STORE,NORTH,EUR,1202.08,19,
ORD-7693176,CUST-41498,PROD-28412,2025-12-05,1,1088.97,STORE,NORTH,GBP,1088.97,20,
ORD-6930619,CUST-37280,PROD-36414,2025-12-22,--,null,MOBILE,EAST,GBP,3820.45,21,type_mismatch
ORD-8267612,CUST-96646,PROD-27124,2024-09-16,2,771.25,ONLINE,EAST,GBP,706.65,22,revenue_inconsistency
ORD-9236037,CUST-53800,PROD-93688,2025-07-19,1,80.64,MOBILE,NORTH,EUR,80.64,23,
ORD-2084784,,,,2,395.87,STORE,WEST,EUR,388.14,24,nulls|revenue_inconsistency
ORD-7704915,CUST-58684,PROD-53996,2025-12-02,2,74.25,ONLINE,EAST,EUR,67.8,25,revenue_inconsistency
ORD-8946828,CUST-69322,PROD-35948,2026-01-25,1,401.81,STORE,WEST,EUR,401.81,26,
ORD-9729308,CUST-22644,PROD-45499,2025-11-05,-2.0,232.23,MOBILE,SOUTH,GBP,-464.46,27,duplicates|negative_values
ORD-2144972,CUST-15796,PROD-29419,2025-10-08,2,369.06,STORE,SOUTH,GBP,738.12,28,
ORD-1408213,CUST-34248,PROD-16580,2025-05-19,1,206.95,ONLINE,EAST,EUR,206.95,29,
ORD-4332006,CUST-72400,PROD-23460,2025-09-28,3,179.36,ONLINE,EAST,EUR,538.08,30,
ORD-4147659,CUST-90693,PROD-49241,2024-06-03,2,842.15,STORE,EAST,EUR,1684.3,31,
ORD-6136759,CUST-15758,PROD-72049,2025-08-12,9999,0.0001,STORE,EAST,EUR,137.49,32,out_of_range
ORD-4703319,CUST-84575,PROD-43634,2026-02-08,3,593.6,STORE,WEST,EUR,1780.8,33,
ORD-9142563,CUSTOMER-GHOST0469,PRODUCT-GHOST0469,2025-06-10,2,517.78,ONLINE,SOUTH,EUR,1035.56,34,referential_break
ORD-4999169,CUST-12995,PROD-32012,2026-09-07,1,495.96,MOBILE ,NORTH ,GBP ,495.96,35,future_date|whitespace_corruption
